Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Seed Round - Prosperr.io,https://www.crunchbase.com/funding_round/prosperr-seed--6b42d94a,Prosperr.io,https://www.crunchbase.com/organization/prosperr,Seed,4000000,USD,4000000,2025-12-23,Prosperr.io is a tax management startup that offers subscription-based tax planning and compliance services for salaried users.,"Artificial Intelligence (AI), Finance, Financial Services, FinTech, Tax Consulting",https://www.prosperr.io,Jungle Ventures,"Jungle Ventures, Sadev Ventures, Yatra Angel Network"
Series A - Looki,https://www.crunchbase.com/funding_round/looki-series-a--991ad7a8,Looki,https://www.crunchbase.com/organization/looki,Series A,20000000,USD,20000000,2026-01-05,"Looki is building the next generation of human-centric ai platforms - emotionally aware, and deeply embedded in the physical world.",Artificial Intelligence (AI),https://www.looki.ai/,Ant Group,"Alpha Startups, Ant Group, Longzhu Capital, Tongge Venture Capital, Walden International, Zhongguancun Capital"
Series A - Ankar AI,https://www.crunchbase.com/funding_round/ankar-ai-series-a--0e297da6,Ankar AI,https://www.crunchbase.com/organization/ankar-ai,Series A,20000000,USD,20000000,2025-12-16,Ankar AI operates as a next-generation AI Intellectual Property platform.,"Artificial Intelligence (AI), Intellectual Property, Software",https://www.ankar.ai/,Atomico,"Atomico, Daphni, Index Ventures, Norrsken VC"
Angel Round - Kunlunyuan,https://www.crunchbase.com/funding_round/kunlunyuan-angel--558f34ce,Kunlunyuan,https://www.crunchbase.com/organization/kunlunyuan,Angel,30000000,CNY,4282105,2025-12-29,Kunlunyuan offers full-stack technology services for AI big models.,"Artificial Intelligence (AI), Information Technology, Software",,"Aeonmed Medical Treatment, CRRC, Shanghai Jiusong Shanhe Equity Investment Fund Management","Aeonmed Medical Treatment, CRRC, Shanghai Jiusong Shanhe Equity Investment Fund Management"
Series A - Tucuvi,https://www.crunchbase.com/funding_round/tucuvi-series-a--9aa2cb47,Tucuvi,https://www.crunchbase.com/organization/tucuvi,Series A,20000000,USD,20000000,2026-01-08,Tucuvi is pioneering AI-first healthcare with its CE-marked platform for Phone Consultation automation.,"Artificial Intelligence (AI), Health Care, Medical Device, Natural Language Processing, Social Entrepreneurship, Virtual Assistant",https://tucuvi.com,"Cathay Innovation, K Fund","Cathay Innovation, Frontline Ventures, K Fund, Seaya Ventures, Shilling VC"
Series A - Prudentia Sciences,https://www.crunchbase.com/funding_round/prudentia-sciences-series-a--ceaefa59,Prudentia Sciences,https://www.crunchbase.com/organization/prudentia-sciences,Series A,20000000,USD,20000000,2026-01-07,Prudentia Sciences is a platform enables AI-powered Asset Diligence and Valuation to De-Risk Investment in Drug Development.,"Artificial Intelligence (AI), Information Technology",https://www.prudentiasciences.com/,McKesson Ventures,"Google Ventures, Iaso Ventures, McKesson Ventures, SignalFire, Virtue"
Series A - Spangle,https://www.crunchbase.com/funding_round/spangle-1d9d-series-a--637db193,Spangle,https://www.crunchbase.com/organization/spangle-1d9d,Series A,15000000,USD,15000000,2026-01-08,Building the AI-Native Commerce Platform,"Artificial Intelligence (AI), Digital Marketing, E-Commerce, Retail",https://www.spangle.ai/,NewRoad Capital Partners,"DNX Ventures, Madrona, NewRoad Capital Partners, Streamlined"
Series A - Scowtt,https://www.crunchbase.com/funding_round/scowtt-series-a--a6d37ad1,Scowtt,https://www.crunchbase.com/organization/scowtt,Series A,12000000,USD,12000000,2025-12-08,Scowtt is an AI-powered advertising optimization platform that convert leads into customers by leveraging underutilized CRM and web data.,"Advertising, Artificial Intelligence (AI), Lead Generation, Machine Learning, Marketing",https://www.scowtt.com,Inspired Capital Partners,"Angeles Investors, Angeles Ventures, Inspired Capital Partners, LiveRamp"
Series B - Outset,https://www.crunchbase.com/funding_round/outset-c13b-series-b--f8eed1a1,Outset,https://www.crunchbase.com/organization/outset-c13b,Series B,30000000,USD,30000000,2025-12-10,Outset provides an AI-moderated research platform that helps research teams analyze and share qualitative and quantitative studies.,"Artificial Intelligence (AI), Consumer Research, Software",https://outset.ai,Radical Ventures,"8VC, Adverb Ventures, M12 - Microsoft's Venture Fund, Radical Ventures, Y Combinator"
Series A - Ostium,https://www.crunchbase.com/funding_round/ostium-series-a--71fa2c75,Ostium,https://www.crunchbase.com/organization/ostium,Series A,20000000,USD,20000000,2025-12-03,Ostium delivers a decentralized trading platform that enables leveraged trading of real-world assets.,"Cryptocurrency, FinTech, Trading Platform",https://www.ostium.com/,"General Catalyst, Jump Crypto","Balaji Srinivasan, Coinbase Ventures, Crucible Capital, General Catalyst, GSR, Jump Crypto, LocalGlobe, Nick van Eck, Shiliang Tang, Susquehanna International Group, Wintermute Ventures"
Seed Round - Govstream.ai,https://www.crunchbase.com/funding_round/govstream-seed--cbdd07ad,Govstream.ai,https://www.crunchbase.com/organization/govstream,Seed,3600000,USD,3600000,2025-12-01,Govstream.ai is a Govtech SaaS startup that offers AI technology for streamlining permitting and urban development.,"Artificial Intelligence (AI), GovTech, SaaS, Software",https://govstream.ai,47Th Street Partners,"47Th Street Partners, Andreas Huber, Ascend, Kevin Merritt, Nellore Capital"
Seed Round - Raindrop,https://www.crunchbase.com/funding_round/raindrop-03c9-seed--39f266df,Raindrop,https://www.crunchbase.com/organization/raindrop-03c9,Seed,15000000,USD,15000000,2025-12-01,Raindrop is a provider of a monitoring platform for AI agents.,"Artificial Intelligence (AI), Business Intelligence, Enterprise Software",https://www.raindrop.chat,Lightspeed Venture Partners,"Akshay Kothari, Amjad Masad, Andrew Hsu, Figma Ventures, Jorn van Dijk, Koen Bok, Lightspeed Venture Partners, Michele Catasta, Vercel, Walden Yan, Y Combinator"
Seed Round - Memsilicon,https://www.crunchbase.com/funding_round/memsilicon-seed--50520c90,Memsilicon,https://www.crunchbase.com/organization/memsilicon,Seed,100000000,CNY,14322133,2026-01-05,Memsilicon specializes in research and development solutions for RRAM storage and AI computing technologies.,"Artificial Intelligence (AI), Data Storage, Information Technology",,"CDB Technology Venture Capital, Legend Capital, Lenovo Capital and Incubator Group (LCIG), SDIC Venture Capital","CAS Star, CDB Technology Venture Capital, China Fortune-Tech Capital, Heng Yu Investment, Legend Capital, Lenovo Capital and Incubator Group (LCIG), SDIC Venture Capital, Semiconductor Manufacturing International, Shunxi Fund, Xiomi war ventures"
Series A - Verisoul,https://www.crunchbase.com/funding_round/verisoul-series-a--ac96037b,Verisoul,https://www.crunchbase.com/organization/verisoul,Series A,8804699,USD,8804699,2025-12-16,Verisoul provides an identity verification and prevention platform to help online businesses distinguish real users from fake accounts.,"Artificial Intelligence (AI), B2B, Cyber Security, Fraud Detection, Identity Management",https://www.verisoul.ai,High Alpha,"BITKRAFT Ventures, Future Back Ventures by Bain & Company, High Alpha, Lookout Ventures, Third Prime"
Seed Round - Endra,https://www.crunchbase.com/funding_round/endra-b466-seed--a9547fd0,Endra,https://www.crunchbase.com/organization/endra-b466,Seed,20000000,USD,20000000,2025-12-17,"Endra builds an AI-powered platform that automates the design of mechanical, electrical, and plumbing systems in building projects.","3D Technology, Artificial Intelligence (AI), Heating, Ventilation, and Air Conditioning (HVAC), SaaS",https://www.endra.ai,Notion Capital,"Norrsken VC, Notion Capital"
Seed Round - Valinor Discovery,https://www.crunchbase.com/funding_round/valinor-discovery-seed--ccf5e7b2,Valinor Discovery,https://www.crunchbase.com/organization/valinor-discovery,Seed,13000000,USD,13000000,2025-12-10,Valinor Discovery uses machine learning to simulate drug performance and support data-driven drug development decisions.,"Artificial Intelligence (AI), Biotechnology, Machine Learning",https://www.valinordiscovery.com,"Amino Collective, CRV, Harpoon, Pelion Venture Partners","Amino Collective, Axel Ericsson, Charlie Songhurst, CRV, Harpoon, Kyle Harrison, Pelion Venture Partners, Surya Midha"
Series A - Junji Gene,https://www.crunchbase.com/funding_round/junji-gene-series-a--8ae1b33b,Junji Gene,https://www.crunchbase.com/organization/junji-gene,Series A,100000000,CNY,14182989,2025-12-15,Junji Gene offers intelligent labs for gene synthesis and helps in the localization of raw materials for in vitro diagnostic kits.,"Artificial Intelligence (AI), Health Care, Medical",http://www.gentlegen.com/,"Jinqiao Private Equity Fund Management, Lianyungang Jinhai Chuangtou, TENYKIN","Jinqiao Private Equity Fund Management, Lianyungang Jinhai Chuangtou, TENYKIN, Wuhan Optics Valley Industrial Investment"
Series A - TidalWave,https://www.crunchbase.com/funding_round/tidalwave-7da2-series-a--73a4bfe2,TidalWave,https://www.crunchbase.com/organization/tidalwave-7da2,Series A,22000000,USD,22000000,2025-11-14,Agentic AI mortgage platform,"Artificial Intelligence (AI), Banking, Enterprise, Financial Services, Generative AI, Mortgage",https://www.tidalwave.ai,Permanent Capital Partners,"D.R. Horton, Engineering Capital, Permanent Capital Partners"
Series A - Phil Rivers Technology,https://www.crunchbase.com/funding_round/zheyuan-technology-series-a--ce87e78b,Phil Rivers Technology,https://www.crunchbase.com/organization/zheyuan-technology,Series A,100000000,CNY,14199503,2025-12-16,Phil Rivers Technology is an AI pharmaceutical R&D solution provider.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Medical",https://www.philrivers.com/,CAS Investment Management,"CAS Investment Management, ChemPartner, Zeyfund"
Seed Round - Opti,https://www.crunchbase.com/funding_round/opti-bcaa-seed--5eb835a3,Opti,https://www.crunchbase.com/organization/opti-bcaa,Seed,20000000,USD,20000000,2025-11-24,Opti is an AI-powered identification protection system that uses domain-trained models to automate enterprise IAM.,"Artificial Intelligence (AI), Security",https://www.opti.ai,"Hetz Ventures, Mayfield Fund, YL Ventures","Hetz Ventures, LocalGlobe, Maple Capital, Mayfield Fund, Shlomo Kramer, Squared Circle Ventures, YL Ventures"
Seed Round - AIR Platforms,https://www.crunchbase.com/funding_round/air-platforms-seed--951f5332,AIR Platforms,https://www.crunchbase.com/organization/air-platforms,Seed,6100000,USD,6100000,2025-12-10,"AIR Platforms (AIR) is an AI-powered credit ratings firm delivering real-time, cost-effective insights across public and private markets.","Artificial Intelligence (AI), Credit, Financial Services, Generative AI, Machine Learning, Software",https://www.airplatforms.com/,"Lerer Hippeau, Work-Bench","Lerer Hippeau, Work-Bench"
Seed Round - Pryzm,https://www.crunchbase.com/funding_round/pryzm-f60d-seed--a27ba568,Pryzm,https://www.crunchbase.com/organization/pryzm-f60d,Seed,12200000,USD,12200000,2025-12-08,"Pryzm helps win government contracts using AI search, strategic planning, and easy collaboration tools.","Analytics, Artificial Intelligence (AI), CRM, Government, Software",https://www.pryzm.io,Andreessen Horowitz,"Amplify.LA, Andreessen Horowitz, Forum Ventures, XYZ Venture Capital"
Seed Round - Unlimited Industries,https://www.crunchbase.com/funding_round/unlimited-industries-seed--351ceb26,Unlimited Industries,https://www.crunchbase.com/organization/unlimited-industries,Seed,12000000,USD,12000000,2025-12-03,"Unlimited Industries transforms how critical infrastructure is engineered and delivered, accelerating a future of abundance with AI-powered.","Artificial Intelligence (AI), Construction, Software",https://www.unlimitedindustries.com,"Andreessen Horowitz, CIV","Andreessen Horowitz, Bessemer Venture Partners, CIV, Earthshot Ventures, Hustle Fund, Liquid 2 Ventures, MCJ"
Series A - Luca,https://www.crunchbase.com/funding_round/luca-62a4-series-a--5fdbe73f,Luca,https://www.crunchbase.com/organization/luca-62a4,Series A,8000000,USD,8000000,2025-10-30,SaaS AI K12 Learning Platform,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Primary Education, SaaS, Secondary Education",https://www.lucaedu.com/,6 Degrees Capital,"6 Degrees Capital, Explorer Investments, Heartcore Capital, Shilling VC"
Seed Round - Safebooks AI,https://www.crunchbase.com/funding_round/safebooks-ai-seed--eaa44ad2,Safebooks AI,https://www.crunchbase.com/organization/safebooks-ai,Seed,15000000,USD,15000000,2025-12-09,Safebooks AI develops a platform for enterprises to automate the quality verification of financial data.,"Artificial Intelligence (AI), Financial Services, FinTech",https://www.safebooks.ai/,"10D, Mensch Capital Partners, Propel","10D, Blue Moon, Cerca Partners, Magnolia Capital, Mensch Capital Partners, Moneta VC, Propel"
Seed Round - CoreOps.AI,https://www.crunchbase.com/funding_round/coreops-ai-seed--67cbff76,CoreOps.AI,https://www.crunchbase.com/organization/coreops-ai,Seed,3500000,USD,3500000,2025-12-04,CoreOps.AI is an information technology company that offers enterprise application services and business intelligence solutions.,"Artificial Intelligence (AI), Business Intelligence, Information Technology",https://www.coreops.ai,Siana Capital Management,"Aroa Venture Partners, Kettleborough VC, Siana Capital Management"
Seed Round - Channel3,https://www.crunchbase.com/funding_round/channel3-seed--69afcf4c,Channel3,https://www.crunchbase.com/organization/channel3,Seed,6000000,USD,6000000,2025-12-10,"Channel3 provides a universal, API-driven product catalog that enables developers to search, deduplicate, and monetize product data.","Artificial Intelligence (AI), Database, E-Commerce, Internet, Shopping",https://trychannel3.com,Matrix,"Ludlow Ventures, Matrix, Matteo Franceschetti, Paul Graham, Sri Batchu, Y Combinator"
Seed Round - Minitap,https://www.crunchbase.com/funding_round/minitap-seed--89e71ef8,Minitap,https://www.crunchbase.com/organization/minitap,Seed,4100000,USD,4100000,2025-09-08,Minitap is an AI-driven mobile development company that assists with monitoring mobile devices.,"Artificial Intelligence (AI), Mobile Devices",https://minitap.ai,"Mercuri, Moxxie Ventures","Amigos, Andre Schwammlein, Better Angle, Daniel Krauss, EWOR, Jochen Engert, Mercuri, Michael Breidenbrücker, Moxxie Ventures, Paul Müller, Petter Made, Saturnin Pugnet, Stefan Glänzer, Tekton Ventures, Thomas Wolf"
Series A - Lemurian Labs,https://www.crunchbase.com/funding_round/lemurian-labs-series-a--ccfc5f55,Lemurian Labs,https://www.crunchbase.com/organization/lemurian-labs,Series A,28000000,USD,28000000,2025-12-03,Any workload. Any hardware. Any scale.,"Artificial Intelligence (AI), Cloud Management, Infrastructure, Machine Learning",https://www.lemurianlabs.com,"Hexagon, Pebblebed","1Flourish Capital, Animal Capital, Blackhorn Ventures, Hexagon, Origin Ventures, Oval Park Capital, Pebblebed, Planetary Impact Ventures, Silicon Catalyst Ventures, Stepchange Ventures, Uncorrelated Ventures, Untapped Ventures"
Series A - MEQ Probe,https://www.crunchbase.com/funding_round/meq-probe-series-a--716d00c6,MEQ Probe,https://www.crunchbase.com/organization/meq-probe,Series A,23000000,AUD,15282453,2025-12-15,MEQ Probe offers tech solutions for real-time meat measurement using AI and lasers in the red meat industry.,"Artificial Intelligence (AI), Food and Beverage, Test and Measurement",https://meqsolutions.com/,Insight Partners,Insight Partners
Series A - imper.ai,https://www.crunchbase.com/funding_round/imper-ai-series-a--606a0cce,imper.ai,https://www.crunchbase.com/organization/imper-ai,Series A,28000000,USD,28000000,2025-12-04,Imper.ai provides a cybersecurity platform that aims to prevent impersonation-based and social-engineering attacks in real time.,"Artificial Intelligence (AI), Cyber Security, Generative AI, Network Security",https://imper.ai,"Battery Ventures, Redpoint","Battery Ventures, Cerca Partners, Maple VC, Redpoint, Vesey Ventures"
Series A - Cerrion,https://www.crunchbase.com/funding_round/cerrion-series-a--3793eacd,Cerrion,https://www.crunchbase.com/organization/cerrion,Series A,18000000,USD,18000000,2025-11-24,Cerrion is an AI software company that develops computer vision technology to generate production insights.,"Artificial Intelligence (AI), Industrial Automation, Information Technology, Machine Learning, Software",https://www.cerrion.com,Creandum,"10x Founders, Carl Rivera, Christian Floerkemeier, Creandum, Filip Kaliszan, Garrett Langley, Goat Capital, Harry Stebbings, Johannes Schildt, Marc Maurer, Oskar Hjertonsson, Roman Hölzl, Session.vc, Thomas Wolf, Y Combinator"
Pre Seed Round - Autonomous Technologies Group,https://www.crunchbase.com/funding_round/autonomous-technologies-group-pre-seed--a3e66205,Autonomous Technologies Group,https://www.crunchbase.com/organization/autonomous-technologies-group,Pre-Seed,15000000,USD,15000000,2026-01-07,Autonomous is an AI-powered fintech company that helps users manage investments and financial decisions independently.,"Advice, Artificial Intelligence (AI), Finance",https://becomeautonomous.xyz/,"BoxGroup, Y Combinator","BoxGroup, Collaborative Fund, Fusion Fund, Y Combinator"
Seed Round - Biographica,https://www.crunchbase.com/funding_round/biographica-seed--853f86fa,Biographica,https://www.crunchbase.com/organization/biographica,Seed,7000000,GBP,9454272,2026-01-07,Biographica is a biotechnology company that accelerates gene discovery in agriculture with knowledge graphs and machine learning.,"Agriculture, Artificial Intelligence (AI), Biotechnology",https://graphica.bio,Faber,"Cardumen Capital, Chalfen Ventures, Dhyan VC, Entrepreneurs First, EQt Foundation, Faber, Nucleus Capital, Saras Capital, Sie Ventures, SuperSeed Ventures, The Helm"
Series A - DataLane,https://www.crunchbase.com/funding_round/datalane-dbd9-series-a--820c4e51,DataLane,https://www.crunchbase.com/organization/datalane-dbd9,Series A,22500000,USD,22500000,2025-12-16,DataLane utilizes AI to transform unstructured local business data into organized contact information and market insights.,"Artificial Intelligence (AI), Developer Tools, Information Technology, Software",https://www.datalane.com,Amplify Partners,"Amplify Partners, Basis Set Ventures, Harry Stebbings, Mischief"
Seed Round - NavierAI,https://www.crunchbase.com/funding_round/navierai-seed--c4ded6a5,NavierAI,https://www.crunchbase.com/organization/navierai,Seed,5600000,USD,5600000,2025-12-15,NavierAI develops artificial intelligence software that accelerates engineering simulations and design workflows.,"Artificial Intelligence (AI), Software, Web Development",http://navier.ai,,"Google Ventures, HCVC, Y Combinator"
Seed Round - Ridley,https://www.crunchbase.com/funding_round/ridley-5644-seed--fca8468d,Ridley,https://www.crunchbase.com/organization/ridley-5644,Seed,6400000,USD,6400000,2025-12-03,"Ridley helps homeowners sell their home without the usual 6% agent commission, offering AI guidance and full exposure.","Analytics, Artificial Intelligence (AI), Legal Tech, PropTech",https://www.getridley.com,Fifth Wall,"1984 Ventures, 1Sharpe Ventures, Aglaé Ventures, Fifth Wall, Moxxie Ventures, Park Rangers Capital"
Seed Round - Procure Ai,https://www.crunchbase.com/funding_round/procure-ai-seed--221eb842,Procure Ai,https://www.crunchbase.com/organization/procure-ai,Seed,13000000,USD,13000000,2025-11-05,Procure Ai empowers enterprises to run procurement tasks through AI.,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Procurement, SaaS, Software",https://procure.ai,Headline,"C4 Ventures, Futury Capital, Headline"
Seed Round - Tivara,https://www.crunchbase.com/funding_round/tivara-seed--9e071448,Tivara,https://www.crunchbase.com/organization/tivara,Seed,3600000,USD,3600000,2026-01-08,"Tivara designs software to help doctors quickly automate prior authorization requests, so care is delivered faster.","Artificial Intelligence (AI), B2B, Health Care",https://www.tivara.com/,,"Day One Ventures, Kulveer Taggar, Mischief, Y Combinator"
Series B - Ninetech,https://www.crunchbase.com/funding_round/ninetech-9abe-series-b--ac2f91e5,Ninetech,https://www.crunchbase.com/organization/ninetech-9abe,Series B,100000000,CNY,14322133,2026-01-05,Ninetech provides digital transformation and upgrading solutions for large state-owned enterprises and central enterprises.,"Apps, Artificial Intelligence (AI), Big Data",http://www.ninetechone.com/,Shenzhen Special Economic Zone Construction and Development Strategic Emerging Fund,Shenzhen Special Economic Zone Construction and Development Strategic Emerging Fund
Seed Round - HolmesAI,https://www.crunchbase.com/funding_round/holmesai-seed--b077436a,HolmesAI,https://www.crunchbase.com/organization/holmesai,Seed,5000000,USD,5000000,2025-12-15,"HolmesAI is a decentralised AI agent that offers persona customisation, tool integration, and task-specific agent deployment services.","Artificial Intelligence (AI), Digital Entertainment, Service Industry",https://www.holmesai.xyz/,,"Bitrise Capital, CatcherVC, Cryptomeria Capital, Generative Ventures, IBG Capital"
Series A - Valerie Health,https://www.crunchbase.com/funding_round/valerie-health-series-a--31830575,Valerie Health,https://www.crunchbase.com/organization/valerie-health,Series A,30000000,USD,30000000,2025-12-16,"Valerie Health is the AI front office for independent provider groups to modernize patient and provider communication interfaces,","Artificial Intelligence (AI), Communications Infrastructure, Digital Signage, Health Care",https://valeriehealth.com/,Redpoint,".406 Ventures, BoxGroup, General Catalyst, Karman Ventures, Primary Venture Partners, Redpoint, Waybury Capital"
Seed Round - Aivar Innovations,https://www.crunchbase.com/funding_round/aivar-innovations-seed--4c6585f2,Aivar Innovations,https://www.crunchbase.com/organization/aivar-innovations,Seed,4600000,USD,4600000,2026-01-08,Aivar Innovations is an AI-focused technology services company specializing in end-to-end AI solutions for startups and enterprises.,"Analytics, Artificial Intelligence (AI), Cloud Infrastructure, Consulting, DevOps, Generative AI, Information Services, Information Technology, Machine Learning",https://aivar.tech,Sorin Investments,"Bessemer Venture Partners, Sorin Investments"
Series A - Bedrock Data,https://www.crunchbase.com/funding_round/bedrock-security-series-a--36438d60,Bedrock Data,https://www.crunchbase.com/organization/bedrock-security,Series A,25000000,USD,25000000,2025-11-17,"Bedrock Data accelerates data security, governance, and management for all your data, at scale, so you can innovate faster.","Artificial Intelligence (AI), Big Data, Cloud Management, Cloud Security, Cyber Security, Data Governance, Information Technology, Security",https://bedrockdata.ai,Greylock,"Greylock, Mangusta Capital, MANTIS Venture Capital, Pier 88 Investment Partners"
Series A - Donna,https://www.crunchbase.com/funding_round/dealside-series-a--0217cdbb,Donna,https://www.crunchbase.com/organization/dealside,Series A,4800000,USD,4800000,2025-12-02,"Hi, I'm Donna! I'm the perfect assistant for field sales teams. I support you before, during and after every sales interaction.","Artificial Intelligence (AI), CRM, Sales Automation, Sales Enablement",https://www.askdonna.com,Frontline Ventures,"Everywhere Ventures, Fortino Capital, Frontline Ventures, NewSchool.vc, Pitchdrive, Syndicate One, welovefounders"
Seed Round - Lumia Security,https://www.crunchbase.com/funding_round/lumia-security-seed--765ed790,Lumia Security,https://www.crunchbase.com/organization/lumia-security,Seed,18000000,USD,18000000,2025-12-03,Lumia Security offers an AI security and governance platform for enterprises to monitor and control employee.,"Artificial Intelligence (AI), Information Technology",https://www.lumia.security,Team8,"New Era Capital Partners, Team8"
Series A - Galatek.ai,https://www.crunchbase.com/funding_round/galatek-ai-series-a--e1f04e3e,Galatek.ai,https://www.crunchbase.com/organization/galatek-ai,Series A,30000000,USD,30000000,2025-12-19,Galatek.ai is a Singapore-based startup focused on AI-powered automation for life sciences and semiconductor manufacturing.,"Artificial Intelligence (AI), Industrial Automation, Machine Learning",https://www.galatek.ai,,
Series A - Stuut,https://www.crunchbase.com/funding_round/stuut-series-a--3c421f77,Stuut,https://www.crunchbase.com/organization/stuut,Series A,29500000,USD,29500000,2025-11-20,Stuut provides an AI platform that automates accounts receivable work for companies.,"Artificial Intelligence (AI), Financial Services, FinTech, Software",https://www.stuut.ai,Andreessen Horowitz,"1984 Ventures, Activant Capital, Andreessen Horowitz, Carya Venture Partners, Khosla Ventures, Page One Ventures, Valley Ventures, Vesey Ventures"
